z count
-0.0958 7
-0.0855 11
-0.0752 10
-0.0650 13
-0.0547 29
-0.0444 70
-0.0341 181
-0.0238 347
-0.0136 546
-0.0033 658
0.0070 662
0.0173 536
0.0276 364
0.0378 222
0.0481 141
0.0584 109
0.0687 110
0.0789 92
0.0892 98
0.0995 102
0.1098 99
0.1201 105
0.1303 139
0.1406 193
0.1509 324
0.1612 479
0.1715 681
0.1817 729
0.1920 647
0.2023 474
0.2126 301
0.2229 189
0.2331 126
0.2434 127
0.2537 116
0.2640 86
0.2742 100
0.2845 114
0.2948 103
0.3051 120
0.3154 149
0.3256 267
0.3359 392
0.3462 608
0.3565 720
0.3668 662
0.3770 562
0.3873 365
0.3976 207
0.4079 152
0.4181 121
0.4284 113
0.4387 93
0.4490 122
0.4593 93
0.4695 97
0.4798 118
0.4901 132
0.5004 214
0.5107 342
0.5209 517
0.5312 642
0.5415 705
0.5518 533
0.5620 358
0.5723 203
0.5826 85
0.5929 29
0.6032 15
0.6134 11
0.6237 7
0.6340 8
0.6443 5
0.6546 4
0.6648 2
0.6751 6
0.6854 8
0.6957 8
0.7060 9
0.7162 9
0.7265 4
0.7368 6
0.7471 9
0.7573 9
0.7676 11
0.7779 8
0.7882 9
0.7985 12
0.8087 9
0.8190 3
